Observation,Dead,Conc,Conc2,random,Conc3
1,0,0,0,0.646491227,0
2,0,0,0,0.36161308,0
3,0,0,0,0.292583508,0
4,0,0,0,0.090161089,0
5,0,0,0,0.562498902,0
6,0,0,0,0.191901446,0
7,0,0,0,0.221622479,0
8,0,0,0,0.418608117,0
9,0,0,0,0.495969139,0
10,0,0,0,0.316604457,0
11,0,0,0,0.989337727,0
12,0,0,0,0.691001015,0
13,0,0,0,0.729011177,0
14,0,0,0,0.414159296,0
15,0,0,0,0.561307712,0
16,0,0,0,0.914771848,0
17,0,0,0,0.438353307,0
18,0,0,0,0.780793353,0
19,0,0,0,0.265495791,0
20,0,0,0,0.039116715,0
21,0,0,0,0.533765805,0
22,0,0,0,0.824700957,0
23,0,0,0,0.635924595,0
24,0,0,0,0.781277689,0
25,0,0,0,0.025340858,0
26,0,0,0,0.352397932,0
27,0,0,0,0.018862058,0
28,0,0,0,0.044417586,0
29,1,0,0,0.192198824,0
30,1,0,0,0.168683499,0
31,1,1,1,0.325580786,1.325580786
32,1,1,1,0.575670654,1.575670654
33,1,1,1,0.38348136,1.38348136
34,1,1,1,0.176748733,1.176748733
35,1,1,1,0.151961971,1.151961971
36,1,1,1,0.739024554,1.739024554
37,1,1,1,0.376593806,1.376593806
38,1,1,1,0.557513669,1.557513669
39,0,1,1,0.281850591,1.281850591
40,0,1,1,0.475113682,1.475113682
41,0,1,1,0.429928114,1.429928114
42,0,1,1,0.595473976,1.595473976
43,0,1,1,0.183549527,1.183549527
44,0,1,1,0.9458529,1.9458529
45,0,1,1,0.247691879,1.247691879
46,0,1,1,0.371957925,1.371957925
47,0,1,1,0.818931146,1.818931146
48,0,1,1,0.92688259,1.92688259
49,0,1,1,0.124351693,1.124351693
50,0,1,1,0.519025229,1.519025229
51,0,1,1,0.114824202,1.114824202
52,0,1,1,0.215281285,1.215281285
53,0,1,1,0.672776558,1.672776558
54,0,1,1,0.636307516,1.636307516
55,0,1,1,0.988970562,1.988970562
56,0,1,1,0.416379013,1.416379013
57,0,1,1,0.656945492,1.656945492
58,0,1,1,0.859694609,1.859694609
59,0,1,1,0.256981456,1.256981456
60,0,1,1,0.563874052,1.563874052
61,1,2,1,0.056141514,2.056141514
62,1,2,1,0.612749506,2.612749506
63,1,2,1,0.120928224,2.120928224
64,1,2,1,0.139601895,2.139601895
65,1,2,1,0.431449274,2.431449274
66,1,2,1,0.402126664,2.402126664
67,1,2,1,0.734165669,2.734165669
68,1,2,1,0.260270005,2.260270005
69,1,2,1,0.932280884,2.932280884
70,1,2,1,0.265551347,2.265551347
71,1,2,1,0.005509921,2.005509921
72,1,2,1,0.655109462,2.655109462
73,1,2,1,0.080391823,2.080391823
74,1,2,1,0.776568972,2.776568972
75,1,2,1,0.307119477,2.307119477
76,0,2,1,0.933762566,2.933762566
77,0,2,1,0.167658139,2.167658139
78,0,2,1,0.683446595,2.683446595
79,0,2,1,0.711598125,2.711598125
80,0,2,1,0.356641902,2.356641902
81,0,2,1,0.246398086,2.246398086
82,0,2,1,0.461144139,2.461144139
83,0,2,1,0.000280924,2.000280924
84,0,2,1,0.063373741,2.063373741
85,0,2,1,0.520941143,2.520941143
86,0,2,1,0.884362031,2.884362031
87,0,2,1,0.276182993,2.276182993
88,0,2,1,0.450371744,2.450371744
89,0,2,1,0.085595085,2.085595085
90,0,2,1,0.940264507,2.940264507
91,1,3,1,0.907683422,3.907683422
92,1,3,1,0.641030036,3.641030036
93,1,3,1,0.00511821,3.00511821
94,1,3,1,0.45763267,3.45763267
95,1,3,1,0.909450445,3.909450445
96,1,3,1,0.866936112,3.866936112
97,1,3,1,0.822233453,3.822233453
98,1,3,1,0.749166147,3.749166147
99,1,3,1,0.798139627,3.798139627
100,1,3,1,0.300842563,3.300842563
101,1,3,1,0.626245544,3.626245544
102,1,3,1,0.689572113,3.689572113
103,1,3,1,0.740305191,3.740305191
104,1,3,1,0.108003861,3.108003861
105,1,3,1,0.312224108,3.312224108
106,1,3,1,0.917626011,3.917626011
107,1,3,1,0.320107273,3.320107273
108,1,3,1,0.134613342,3.134613342
109,1,3,1,0.215714742,3.215714742
110,1,3,1,0.70662222,3.70662222
111,1,3,1,0.618096373,3.618096373
112,1,3,1,0.145930601,3.145930601
113,1,3,1,0.100249532,3.100249532
114,0,3,1,0.253251421,3.253251421
115,0,3,1,0.284579926,3.284579926
116,0,3,1,0.059715219,3.059715219
117,0,3,1,0.044696092,3.044696092
118,0,3,1,0.985064509,3.985064509
119,0,3,1,0.878916818,3.878916818
120,0,3,1,0.275389176,3.275389176
121,1,4,1,0.901326492,4.901326492
122,1,4,1,0.374977273,4.374977273
123,1,4,1,0.381083231,4.381083231
124,1,4,1,0.273560817,4.273560817
125,1,4,1,0.470238063,4.470238063
126,1,4,1,0.139495703,4.139495703
127,1,4,1,0.963666807,4.963666807
128,1,4,1,0.440499782,4.440499782
129,1,4,1,0.03846595,4.03846595
130,1,4,1,0.883866567,4.883866567
131,1,4,1,0.722712362,4.722712362
132,1,4,1,0.884937362,4.884937362
133,1,4,1,0.625705159,4.625705159
134,1,4,1,0.335200356,4.335200356
135,1,4,1,0.655745917,4.655745917
136,1,4,1,0.732326424,4.732326424
137,1,4,1,0.192886274,4.192886274
138,1,4,1,0.13177094,4.13177094
139,1,4,1,0.342164811,4.342164811
140,1,4,1,0.685077707,4.685077707
141,1,4,1,0.623839459,4.623839459
142,1,4,1,0.483717755,4.483717755
143,1,4,1,0.883668865,4.883668865
144,1,4,1,0.752402406,4.752402406
145,1,4,1,0.88100155,4.88100155
146,1,4,1,0.245664959,4.245664959
147,1,4,1,0.56507755,4.56507755
148,0,4,1,0.932802948,4.932802948
149,0,4,1,0.537043053,4.537043053
150,0,4,1,0.471998361,4.471998361
